section,AUC (source),AUC (target),pAUC,pAUC (source),pAUC (target),precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.5197999999999999,0.5376,0.5536842105263158,0.5957894736842105,0.5073684210526316,0.0,0.0,0.0,0.0,0.0,0.0
arithmetic mean,0.5197999999999999,0.5376,0.5536842105263158,0.5957894736842105,0.5073684210526316,0.0,0.0,0.0,0.0,0.0,0.0
harmonic mean,0.5197999999999999,0.5376,0.5536842105263158,0.5957894736842105,0.5073684210526316,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16

