section,AUC (source),AUC (target),pAUC,pAUC (source),pAUC (target),precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.7550000000000001,0.3982,0.5152631578947369,0.631578947368421,0.4905263157894737,0.5853658536585366,0.5,0.48,0.92,0.5274725274725274,0.647887323943662
arithmetic mean,0.7550000000000001,0.3982,0.5152631578947369,0.631578947368421,0.4905263157894737,0.5853658536585366,0.5,0.48,0.92,0.5274725274725274,0.647887323943662
harmonic mean,0.7550000000000001,0.39819999999999994,0.5152631578947369,0.631578947368421,0.49052631578947364,0.5853658536585366,0.5,0.48,0.92,0.5274725274725274,0.647887323943662

