section,AUC (source),AUC (target),pAUC,pAUC (source),pAUC (target),precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.7292000000000001,0.36939999999999995,0.5357894736842105,0.6,0.5452631578947369,0.48333333333333334,0.5,0.58,0.98,0.5272727272727273,0.6621621621621622
arithmetic mean,0.7292000000000001,0.36939999999999995,0.5357894736842105,0.6,0.5452631578947369,0.48333333333333334,0.5,0.58,0.98,0.5272727272727273,0.6621621621621622
harmonic mean,0.7292000000000001,0.3693999999999999,0.5357894736842105,0.6,0.5452631578947369,0.4833333333333333,0.5,0.58,0.98,0.5272727272727273,0.6621621621621622

